epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,1111.41,1.7142,0.79775,0.88099,0.95637,0.39413,0.66931,0.39888,1.55567,0.7885,0.87494,0.00186965,0.00186965,0.00186965
81,1122.6,1.73242,0.79758,0.88302,0.95263,0.39345,0.66807,0.404,1.53197,0.78063,0.87278,0.001868,0.001868,0.001868
82,1133.72,1.70753,0.79019,0.87584,0.95427,0.39408,0.66913,0.40175,1.54855,0.77883,0.87413,0.00186635,0.00186635,0.00186635
83,1144.85,1.71422,0.79137,0.87845,0.95264,0.39341,0.66782,0.40277,1.54109,0.7885,0.87397,0.0018647,0.0018647,0.0018647
84,1156.58,1.72829,0.79501,0.88291,0.95374,0.39325,0.6675,0.40113,1.55444,0.78369,0.87533,0.00186305,0.00186305,0.00186305
85,1168.03,1.70489,0.78656,0.87474,0.95441,0.39301,0.66749,0.40181,1.5638,0.78112,0.8761,0.0018614,0.0018614,0.0018614
86,1179.56,1.7128,0.78729,0.8694,0.95735,0.39476,0.67055,0.40832,1.51473,0.78447,0.87216,0.00185975,0.00185975,0.00185975
87,1191.1,1.72436,0.79637,0.88428,0.95353,0.39265,0.6668,0.39924,1.56864,0.78523,0.88321,0.0018581,0.0018581,0.0018581
88,1205.5,1.7213,0.79086,0.87972,0.95377,0.39332,0.66774,0.40061,1.56247,0.78389,0.87627,0.00185645,0.00185645,0.00185645
89,1245.51,1.70937,0.79013,0.88261,0.95684,0.39469,0.67072,0.41135,1.51941,0.77077,0.87196,0.0018548,0.0018548,0.0018548
90,1257.26,1.70635,0.78693,0.87588,0.95747,0.39475,0.67041,0.40683,1.52449,0.77996,0.87231,0.00185315,0.00185315,0.00185315
91,1268.88,1.69943,0.78425,0.88161,0.95415,0.3941,0.66911,0.39933,1.56602,0.78147,0.87498,0.0018515,0.0018515,0.0018515
92,1280.56,1.71597,0.80066,0.88112,0.95145,0.39264,0.66676,0.39809,1.57126,0.79203,0.88015,0.00184985,0.00184985,0.00184985
93,1292.74,1.71404,0.79538,0.8808,0.9541,0.39324,0.66688,0.39169,1.59431,0.78203,0.87731,0.0018482,0.0018482,0.0018482
94,1304.05,1.70763,0.79562,0.87444,0.95619,0.39474,0.67059,0.40626,1.52107,0.79016,0.87112,0.00184655,0.00184655,0.00184655
95,1315.73,1.70039,0.78339,0.87143,0.95793,0.39473,0.67082,0.41177,1.51218,0.77292,0.87167,0.0018449,0.0018449,0.0018449
96,1329.75,1.73731,0.7925,0.87892,0.95532,0.39373,0.6686,0.40348,1.54387,0.77915,0.87367,0.00184325,0.00184325,0.00184325
97,1344.13,1.70097,0.79598,0.87854,0.95674,0.39484,0.6702,0.40636,1.52473,0.78339,0.87235,0.0018416,0.0018416,0.0018416
98,1355.05,1.71465,0.80092,0.8856,0.95472,0.39431,0.66893,0.40258,1.54524,0.78407,0.87362,0.00183995,0.00183995,0.00183995
99,1365.67,1.67377,0.79297,0.88168,0.95753,0.39499,0.67041,0.40923,1.52084,0.77788,0.87268,0.0018383,0.0018383,0.0018383
100,1382.08,1.70849,0.78757,0.87667,0.95654,0.3939,0.66917,0.40746,1.52467,0.77801,0.87357,0.00183665,0.00183665,0.00183665
101,1393.39,1.71988,0.80344,0.8918,0.95459,0.39338,0.66841,0.39407,1.59673,0.78825,0.87952,0.001835,0.001835,0.001835
102,1404.99,1.7491,0.79556,0.87639,0.95338,0.39373,0.66816,0.40536,1.5257,0.78155,0.8727,0.00183335,0.00183335,0.00183335
103,1416.54,1.70946,0.8009,0.88576,0.9579,0.39504,0.67063,0.40557,1.53517,0.78424,0.87179,0.0018317,0.0018317,0.0018317
104,1431.83,1.69487,0.78162,0.86822,0.9572,0.39432,0.66976,0.40743,1.52672,0.77712,0.87189,0.00183005,0.00183005,0.00183005
105,1444.4,1.71243,0.78576,0.87768,0.95615,0.39423,0.66952,0.40737,1.53838,0.77855,0.87439,0.0018284,0.0018284,0.0018284
106,1461.1,1.70086,0.7912,0.88296,0.95601,0.39392,0.66818,0.39986,1.55776,0.78493,0.87557,0.00182675,0.00182675,0.00182675
107,1472.81,1.70627,0.79174,0.87627,0.9575,0.39439,0.66913,0.39826,1.55568,0.78037,0.87541,0.0018251,0.0018251,0.0018251
108,1484.54,1.68495,0.78336,0.87375,0.9559,0.39446,0.67004,0.41062,1.51014,0.77985,0.87203,0.00182345,0.00182345,0.00182345
109,1496.24,1.6883,0.78768,0.87292,0.95583,0.39417,0.66929,0.40477,1.53732,0.78196,0.87508,0.0018218,0.0018218,0.0018218
110,1510.02,1.71993,0.7839,0.87337,0.95961,0.39552,0.67187,0.40578,1.53688,0.77634,0.87371,0.00182015,0.00182015,0.00182015
111,1521.28,1.68697,0.7959,0.88308,0.95834,0.39536,0.67092,0.40895,1.52058,0.77733,0.87224,0.0018185,0.0018185,0.0018185
112,1532.45,1.69381,0.78989,0.87896,0.95588,0.3948,0.67081,0.41346,1.50379,0.77163,0.87022,0.00181685,0.00181685,0.00181685
113,1570,1.70005,0.78471,0.87438,0.95697,0.39471,0.67046,0.40743,1.5233,0.78251,0.87183,0.0018152,0.0018152,0.0018152
114,1581.95,1.714,0.79135,0.87989,0.95637,0.39378,0.66809,0.40436,1.53859,0.77469,0.87334,0.00181355,0.00181355,0.00181355
115,1592.84,1.69194,0.78418,0.87521,0.95784,0.39468,0.67021,0.40215,1.54888,0.78135,0.87359,0.0018119,0.0018119,0.0018119
116,1604.54,1.66246,0.78626,0.87368,0.95628,0.39433,0.6701,0.40879,1.5228,0.77877,0.87233,0.00181025,0.00181025,0.00181025
117,1615.81,1.69313,0.7928,0.87895,0.96,0.39599,0.67266,0.41161,1.5155,0.77209,0.87038,0.0018086,0.0018086,0.0018086
118,1627.12,1.69101,0.78422,0.87844,0.95979,0.39547,0.67238,0.41278,1.5137,0.77058,0.8727,0.00180695,0.00180695,0.00180695
119,1641.4,1.66621,0.77896,0.87607,0.95826,0.3949,0.67074,0.41086,1.50838,0.76687,0.87,0.0018053,0.0018053,0.0018053
120,1653.17,1.69135,0.78218,0.87157,0.95552,0.39374,0.66916,0.41038,1.5094,0.7823,0.87099,0.00180365,0.00180365,0.00180365
121,1664.47,1.66269,0.78715,0.8753,0.95385,0.39355,0.66763,0.40483,1.52271,0.77411,0.87191,0.001802,0.001802,0.001802
122,1678.17,1.68417,0.7815,0.87551,0.95633,0.39444,0.67047,0.40295,1.5742,0.78311,0.87886,0.00180035,0.00180035,0.00180035
123,1690.42,1.70164,0.78848,0.87696,0.95526,0.39377,0.66873,0.40819,1.53774,0.77784,0.87261,0.0017987,0.0017987,0.0017987
124,1701.77,1.70852,0.78822,0.87861,0.9609,0.39566,0.67251,0.41157,1.51103,0.77221,0.87115,0.00179705,0.00179705,0.00179705
125,1713.52,1.69407,0.7856,0.87672,0.95785,0.39463,0.67031,0.40985,1.50062,0.78237,0.86851,0.0017954,0.0017954,0.0017954
126,1746.11,1.69556,0.78606,0.873,0.95806,0.39469,0.67027,0.41211,1.50749,0.77038,0.87006,0.00179375,0.00179375,0.00179375
127,1759.08,1.70038,0.77971,0.87227,0.9573,0.39423,0.66983,0.40656,1.52426,0.77647,0.87199,0.0017921,0.0017921,0.0017921
128,1775.52,1.71563,0.79086,0.88118,0.95797,0.39446,0.66948,0.40761,1.52713,0.77683,0.87253,0.00179045,0.00179045,0.00179045
129,1787.04,1.67174,0.78642,0.87525,0.96095,0.39608,0.67338,0.41562,1.49026,0.77152,0.86818,0.0017888,0.0017888,0.0017888
130,1797.83,1.653,0.78356,0.88222,0.95805,0.39494,0.67054,0.40854,1.5212,0.77568,0.87061,0.00178715,0.00178715,0.00178715
131,1808.9,1.65828,0.7749,0.87348,0.95817,0.39468,0.67035,0.40435,1.54743,0.77552,0.873,0.0017855,0.0017855,0.0017855
132,1820.06,1.7006,0.78169,0.87601,0.95706,0.39454,0.66979,0.40465,1.53279,0.77778,0.87137,0.00178385,0.00178385,0.00178385
133,1831.07,1.66496,0.7829,0.87546,0.96101,0.39607,0.67272,0.41527,1.49434,0.76612,0.8688,0.0017822,0.0017822,0.0017822
134,1842.16,1.65342,0.771,0.86685,0.95988,0.39596,0.67151,0.41299,1.49701,0.76784,0.86818,0.00178055,0.00178055,0.00178055
