epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,983.627,2.18125,0.93436,0.95716,0.91563,0.37855,0.64221,0.34066,1.91039,0.86847,0.95334,0.00158708,0.00158708,0.00158708
64,999.294,2.16022,0.93564,0.94132,0.91568,0.37771,0.64067,0.3378,1.91275,0.88233,0.95713,0.00158042,0.00158042,0.00158042
65,1014.61,2.11159,0.91251,0.94278,0.90988,0.37666,0.63811,0.33998,1.89694,0.92554,0.94713,0.00157376,0.00157376,0.00157376
66,1030.27,2.12174,0.9291,0.95206,0.91365,0.37671,0.63907,0.34406,1.84319,0.91966,0.94185,0.0015671,0.0015671,0.0015671
67,1046.27,2.23702,0.94058,0.94468,0.90968,0.37656,0.63549,0.33816,1.85841,0.88448,0.94245,0.00156044,0.00156044,0.00156044
68,1061.67,2.12377,0.94106,0.94883,0.92052,0.38068,0.64574,0.34838,1.86361,0.86029,0.94202,0.00155378,0.00155378,0.00155378
69,1077.69,2.13755,0.91301,0.93605,0.88925,0.3677,0.62405,0.31462,2.02173,1.03697,0.95877,0.00154712,0.00154712,0.00154712
70,1093.31,2.10276,0.91722,0.93344,0.90406,0.37359,0.63257,0.33128,1.95994,0.92419,0.95171,0.00154046,0.00154046,0.00154046
71,1108.89,2.0685,0.9149,0.94007,0.91066,0.3761,0.63688,0.34241,1.85479,0.88533,0.94699,0.0015338,0.0015338,0.0015338
72,1124.64,2.1141,0.92732,0.93779,0.91562,0.37735,0.63877,0.34357,1.86006,0.89223,0.94423,0.00152714,0.00152714,0.00152714
73,1140.26,2.08414,0.91157,0.93196,0.92328,0.38166,0.64602,0.34832,1.81191,0.8809,0.92829,0.00152048,0.00152048,0.00152048
74,1156.03,2.11061,0.92495,0.93162,0.91495,0.37839,0.63903,0.33536,1.90508,0.88894,0.94435,0.00151382,0.00151382,0.00151382
75,1172.02,2.119,0.92822,0.93549,0.91729,0.37751,0.64086,0.33799,1.87606,0.88052,0.94225,0.00150716,0.00150716,0.00150716
76,1187.68,2.10587,0.9162,0.93274,0.91837,0.378,0.64143,0.34036,1.87514,0.88324,0.94246,0.0015005,0.0015005,0.0015005
77,1203.07,2.09192,0.92365,0.93883,0.91941,0.37846,0.64256,0.34318,1.85977,0.89213,0.94245,0.00149384,0.00149384,0.00149384
78,1218.29,2.09023,0.92822,0.93842,0.92217,0.38203,0.64688,0.34589,1.84028,0.875,0.93272,0.00148718,0.00148718,0.00148718
79,1234.79,2.08042,0.9094,0.92271,0.92127,0.3788,0.64328,0.34529,1.84459,0.87584,0.94112,0.00148052,0.00148052,0.00148052
80,1250.75,2.07525,0.92944,0.93567,0.92244,0.38026,0.64445,0.34852,1.81702,0.88426,0.92888,0.00147386,0.00147386,0.00147386
81,1266.43,2.04341,0.90626,0.93143,0.92703,0.38377,0.64942,0.3535,1.80806,0.8639,0.92094,0.0014672,0.0014672,0.0014672
82,1281.75,2.04884,0.91582,0.92742,0.92304,0.38179,0.64507,0.35519,1.78848,0.86746,0.92283,0.00146054,0.00146054,0.00146054
83,1297.01,2.05156,0.93378,0.94695,0.92643,0.38281,0.64853,0.36068,1.77871,0.85678,0.92258,0.00145388,0.00145388,0.00145388
84,1313.18,2.12705,0.90749,0.92144,0.91535,0.37875,0.63971,0.33473,1.91763,0.89671,0.9414,0.00144722,0.00144722,0.00144722
85,1328.85,2.05843,0.91036,0.92978,0.9246,0.38206,0.64772,0.35722,1.78395,0.87792,0.9263,0.00144056,0.00144056,0.00144056
86,1344.62,2.02431,0.91349,0.92872,0.92596,0.38292,0.6497,0.34942,1.81335,0.87976,0.93029,0.0014339,0.0014339,0.0014339
87,1359.66,2.04492,0.91475,0.93614,0.92211,0.38204,0.64636,0.35467,1.77332,0.8765,0.92327,0.00142724,0.00142724,0.00142724
88,1375.28,2.06876,0.91244,0.92455,0.91756,0.37969,0.64194,0.34508,1.82647,0.87912,0.93009,0.00142058,0.00142058,0.00142058
89,1390.67,2.06302,0.91783,0.93275,0.92347,0.38106,0.64519,0.35334,1.80475,0.88675,0.92438,0.00141392,0.00141392,0.00141392
90,1406.93,2.03876,0.91395,0.92315,0.93182,0.38498,0.65162,0.36195,1.77068,0.85994,0.91595,0.00140726,0.00140726,0.00140726
91,1422.24,1.96375,0.89606,0.92266,0.93196,0.38574,0.65345,0.36276,1.76338,0.857,0.91568,0.0014006,0.0014006,0.0014006
92,1438.42,2.01913,0.91754,0.93052,0.92666,0.38224,0.64773,0.355,1.79224,0.88424,0.92337,0.00139394,0.00139394,0.00139394
93,1454.06,1.98272,0.89885,0.91914,0.92733,0.38255,0.64968,0.34378,1.83364,0.87185,0.91681,0.00138728,0.00138728,0.00138728
94,1469.22,2.03881,0.90972,0.92733,0.92466,0.38245,0.64675,0.34752,1.81183,0.88146,0.91952,0.00138062,0.00138062,0.00138062
95,1483.91,1.96527,0.9123,0.93066,0.92564,0.38219,0.64688,0.35983,1.73727,0.86235,0.91919,0.00137396,0.00137396,0.00137396
96,1499.87,2.00057,0.90064,0.9204,0.93591,0.38687,0.65505,0.36162,1.77708,0.84879,0.91792,0.0013673,0.0013673,0.0013673
97,1515.48,1.99169,0.90344,0.92141,0.93486,0.38626,0.65454,0.36714,1.72264,0.85821,0.91231,0.00136064,0.00136064,0.00136064
98,1531.19,1.98966,0.91064,0.92071,0.92444,0.38205,0.64528,0.34731,1.80195,0.88308,0.92298,0.00135398,0.00135398,0.00135398
99,1547.31,1.96087,0.88953,0.91394,0.92321,0.37997,0.64491,0.35347,1.78826,0.86679,0.91691,0.00134732,0.00134732,0.00134732
100,1562.6,1.97975,0.90084,0.91756,0.92766,0.38302,0.64808,0.36385,1.72932,0.86507,0.91638,0.00134066,0.00134066,0.00134066
101,1578.3,1.98264,0.9091,0.9278,0.92971,0.38312,0.64903,0.36121,1.74035,0.86496,0.91337,0.001334,0.001334,0.001334
102,1593.94,1.95308,0.89931,0.9131,0.93391,0.38636,0.65443,0.36779,1.72226,0.85973,0.90848,0.00132734,0.00132734,0.00132734
103,1609.58,1.94811,0.89505,0.91629,0.92875,0.38431,0.6501,0.36854,1.70001,0.85888,0.9089,0.00132068,0.00132068,0.00132068
104,1625.23,1.95863,0.89685,0.9153,0.9259,0.38235,0.64711,0.35647,1.76623,0.87908,0.91827,0.00131402,0.00131402,0.00131402
105,1640.85,1.99394,0.90241,0.91432,0.93322,0.38422,0.65251,0.36301,1.73551,0.87602,0.91004,0.00130736,0.00130736,0.00130736
106,1656.94,1.96367,0.89503,0.91911,0.93738,0.38701,0.65434,0.36342,1.75072,0.84787,0.90769,0.0013007,0.0013007,0.0013007
107,1672.5,1.95541,0.90172,0.91902,0.93861,0.38702,0.6556,0.36874,1.70649,0.8531,0.90278,0.00129404,0.00129404,0.00129404
108,1688.22,1.96168,0.90391,0.91391,0.93628,0.38694,0.65434,0.36908,1.70558,0.86041,0.90747,0.00128738,0.00128738,0.00128738
109,1704.38,1.93047,0.90544,0.9114,0.93377,0.38556,0.65195,0.36236,1.73284,0.87289,0.91167,0.00128072,0.00128072,0.00128072
110,1719.99,1.98431,0.89743,0.90937,0.93235,0.38528,0.6526,0.36943,1.70965,0.84793,0.91004,0.00127406,0.00127406,0.00127406
111,1735.3,1.9165,0.88472,0.91248,0.93828,0.3874,0.65749,0.3669,1.72029,0.86684,0.91093,0.0012674,0.0012674,0.0012674
112,1750.61,1.95327,0.88978,0.91364,0.93503,0.38636,0.65422,0.36683,1.7049,0.86422,0.90648,0.00126074,0.00126074,0.00126074
113,1765.74,1.91062,0.89576,0.92112,0.93685,0.3872,0.65589,0.37134,1.69202,0.8609,0.90255,0.00125408,0.00125408,0.00125408
114,1781.17,1.92092,0.88871,0.9039,0.93516,0.38589,0.65293,0.36998,1.69266,0.85237,0.90199,0.00124742,0.00124742,0.00124742
115,1796.72,1.9299,0.89247,0.90805,0.93042,0.38421,0.65036,0.36654,1.70224,0.86229,0.90618,0.00124076,0.00124076,0.00124076
116,1812.08,1.92933,0.90439,0.91305,0.93347,0.38592,0.65401,0.3698,1.70914,0.87044,0.9083,0.0012341,0.0012341,0.0012341
117,1827.75,1.92401,0.8914,0.90385,0.93605,0.38679,0.65557,0.36978,1.71411,0.86546,0.90841,0.00122744,0.00122744,0.00122744
118,1842.81,1.89858,0.87307,0.90643,0.93881,0.38643,0.65631,0.37162,1.71235,0.83751,0.90312,0.00122078,0.00122078,0.00122078
119,1857.97,1.88851,0.89016,0.90502,0.93556,0.38612,0.65367,0.36994,1.69073,0.85897,0.90508,0.00121412,0.00121412,0.00121412
120,1873.9,1.92169,0.89062,0.89792,0.93206,0.38565,0.65317,0.36796,1.6986,0.87287,0.90377,0.00120746,0.00120746,0.00120746
